Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-03-01 00:00:01;1965-04-01 00:00:00;1965-03;-2.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-04-01 00:00:01;1965-05-01 00:00:00;1965-04;4.1;Y;;Tidsperiod (fr.o.m.) = 1965-04-01 00:00:00 (UTC)
1965-05-01 00:00:01;1965-06-01 00:00:00;1965-05;7.8;Y;;Tidsperiod (t.o.m.) = 2024-07-01 06:00:00 (UTC)
1965-06-01 00:00:01;1965-07-01 00:00:00;1965-06;13.6;Y;;Medelvärdet är beräknat för = 1 månad
1965-07-01 00:00:01;1965-08-01 00:00:00;1965-07;12.8;Y;;
1965-08-01 00:00:01;1965-09-01 00:00:00;1965-08;12.7;Y;;Kvalitetskoderna:
1965-09-01 00:00:01;1965-10-01 00:00:00;1965-09;11.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-10-01 00:00:01;1965-11-01 00:00:00;1965-10;6.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-11-01 00:00:01;1965-12-01 00:00:00;1965-11;-2.4;Y;;
1965-12-01 00:00:01;1966-01-01 00:00:00;1965-12;-4.9;Y;;Nätinformation:
1966-01-01 00:00:01;1966-02-01 00:00:00;1966-01;-6.7;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
1966-02-01 00:00:01;1966-03-01 00:00:00;1966-02;-8.4;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
1966-03-01 00:00:01;1966-04-01 00:00:00;1966-03;-0.8;Y;;
1966-04-01 00:00:01;1966-05-01 00:00:00;1966-04;0.8;Y;;Möjliga orsaker till saknade data:
1966-05-01 00:00:01;1966-06-01 00:00:00;1966-05;9.7;Y;;– stationen eller givaren har varit ur funktion.
1966-06-01 00:00:01;1966-07-01 00:00:00;1966-06;15.4;Y;;– stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
1966-07-01 00:00:01;1966-08-01 00:00:00;1966-07;14.7;Y
1966-08-01 00:00:01;1966-09-01 00:00:00;1966-08;13.3;Y
1966-09-01 00:00:01;1966-10-01 00:00:00;1966-09;9.9;Y
1966-10-01 00:00:01;1966-11-01 00:00:00;1966-10;6.3;Y
1966-11-01 00:00:01;1966-12-01 00:00:00;1966-11;1.6;Y
1966-12-01 00:00:01;1967-01-01 00:00:00;1966-12;-1.9;Y
1967-01-01 00:00:01;1967-02-01 00:00:00;1967-01;-5.1;Y
1967-02-01 00:00:01;1967-03-01 00:00:00;1967-02;-1.4;Y
1967-03-01 00:00:01;1967-04-01 00:00:00;1967-03;2.7;Y
1967-04-01 00:00:01;1967-05-01 00:00:00;1967-04;3.5;Y
